StationID,StationName,County,Region,HUC8,HUC10,HUC12,Latitude,Longitude
10007897,Humphrey Creek at CTH K,Waushara,Northeast,Wolf Subbasin,Willow Creek-Frontal Lake Poygan Watershed,Humphrey Creek-Pine River Subwatershed,44.214046,-89.185165
10008018,Harker Creek US confluence with Lee Creek,Iowa,South Central,Lower Wisconsin Subbasin,Otter Creek Watershed,Flint Creek Subwatershed,43.013542,-90.2395
10008033,Lee Creek US confluence Harker Creek,Iowa,South Central,Lower Wisconsin Subbasin,Otter Creek Watershed,Flint Creek Subwatershed,43.013004,-90.23996
10008790,Running Valley Creek - Sth 40,Dunn,West Central,Red Cedar Subbasin,Lower Pine Creek-Red Cedar River Watershed,Eighteenmile Creek Subwatershed,45.00824,-91.66907
10008930,Mormon Coulee Creek #9 - Kreibich Coulee Rd Bridge,La Crosse,West Central,Coon-Yellow Subbasin,Mormon Creek-Mississippi River Watershed,Mormon Creek Subwatershed,43.756973,-91.06005
10009000,Cook Creek Station #3 Brg. On Cook Hill Rd,Vernon,West Central,Kickapoo Subbasin,West Fork Kickapoo River Watershed,Bishop Branch Subwatershed,43.54291,-90.84515
10009159,Fourteen Mile Creek Upstream Cth D Site 6,Adams,West Central,Castle Rock Subbasin,Fourteenmile Creek Watershed,Lone Rock-Fourteenmile Creek Subwatershed,44.220253,-89.718506
10009476,Sugar River Upstream Of Valley Rd,Dane,South Central,Sugar Subbasin,Headwaters Sugar River Watershed,Headwaters Sugar River Subwatershed,42.972992,-89.56625
10009478,Sugar River Upstream Of Bruce Comp. Bridge,Dane,South Central,Sugar Subbasin,Headwaters Sugar River Watershed,Town of Paoli-Sugar River Subwatershed,42.9397,-89.541626
10009946,Spring Creek Below N. Murray Rd,Rock,South Central,Middle Rock Subbasin,Badfish Creek Watershed,Badfish Creek Subwatershed,42.817463,-89.26451
10010191,Fish Creek - Fish Creek at Hwy 42 (In Park/Bridge),Door,Northeast,Door-Kewaunee Subbasin,Door Peninsula-Frontal Lake Michigan Watershed,Fish Creek-Frontal Green Bay Subwatershed,45.124496,-87.238716
10010233,Hornby Creek - along Hornby Rd in fishery area,Vernon,West Central,Coon-Yellow Subbasin,Bad Axe River Watershed,Hornby Creek Subwatershed,43.48783,-90.99496
10010431,Otter Creek - Otter Creek 51m Upstream Hwy 26,Rock,South Central,Middle Rock Subbasin,Lake Koshkonong-Rock River Watershed,Otter Creek Subwatershed,42.821968,-88.93215
10010563,Pewaukee River 39 (near I-94 and CTH J),Waukesha,Southeast,Upper Fox Subbasin,Pewaukee River-Fox River Watershed,Pewaukee River Subwatershed,43.048172,-88.21944
10010707,Mecan River - 11th Rd Ibi Station 2,Waushara,Northeast,Upper Fox Subbasin,Mecan River Watershed,Little Pine Creek-Mecan River Subwatershed,44.007477,-89.39172
10010908,Sylvester Creek - Sylvester Creek At Ten Eyck Rd,Green,South Central,Sugar Subbasin,Sylvester Creek-Sugar River Watershed,Sylvester Creek Subwatershed,42.602573,-89.41692
10010911,Door Creek - Door Creek At Jahnke Road,Dane,South Central,Middle Rock Subbasin,Lake Kegonsa-Yahara River Watershed,Door Creek Subwatershed,43.071568,-89.23802
10010940,Token Creek - Token Creek At Daentl Rd,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Token Creek Subwatershed,43.18087,-89.329765
10010963,Mud Creek - Mud Creek At Hilcrest Rd,Dane,South Central,Middle Rock Subbasin,Koshkonong Creek Watershed,Mud Creek Subwatershed,43.0104,-89.07806
10010966,Sixmile Creek - US of Mill Rd,Dane,South Central,Middle Rock Subbasin,Lake Mendota-Yahara River Watershed,Sixmile Creek Subwatershed,43.174797,-89.43293
10011232,Menomonee River - Menomonee River at North Ave (110m Upstream),Milwaukee,Southeast,Milwaukee Subbasin,Menomonee River Watershed,Menomonee River Subwatershed,43.061386,-88.03559
10011397,Butler Creek DS of Campbell Ct,Waukesha,Southeast,Milwaukee Subbasin,Menomonee River Watershed,City of Butler-Menomonee River Subwatershed,43.114048,-88.0794
10011680,Molash Creek - Molash Cr. at Hwy O,Manitowoc,Northeast,Manitowoc-Sheboygan Subbasin,East Twin River-Frontal Lake Michigan Watershed,Molash Creek-Frontal Lake Michigan Subwatershed,44.180996,-87.53468
10011966,Badger Mill Creek - Sth. 69 Upstream To Fenceline In Pasture,Dane,South Central,Sugar Subbasin,Headwaters Sugar River Watershed,Badger Mill Creek Subwatershed,42.96457,-89.54841
10012028,Yahara River - Upstream Of Windsor Rd.,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Cherokee Lake-Yahara River Subwatershed,43.216328,-89.34947
10012036,Sixmile Creek - Waunakee Park at third bridge,Dane,South Central,Middle Rock Subbasin,Lake Mendota-Yahara River Watershed,Sixmile Creek Subwatershed,43.189003,-89.44841
10012037,Rutland Br - Upstream Of Cty Rd. A,Dane,South Central,Middle Rock Subbasin,Badfish Creek Watershed,Rutland Branch-Badfish Creek Subwatershed,42.894306,-89.32126
10012434,Dougherty Creek - 5 Meters Upstream Farmers Grove Rd,Green,South Central,Pecatonica Subbasin,East Branch Pecatonica River Watershed,Dougherty Creek Subwatershed,42.782394,-89.74706
10012437,West Branch White River - County T (125 Yards West),Waushara,Northeast,Upper Fox Subbasin,White River Watershed,West Branch White River Subwatershed,44.080322,-89.35333
